2026-09-18T20:58:39 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-18T22:42:08 | SECURITY | v_ai.a1.planner | WARNING | L3: Search iteration limit reached (5000). Stopping permutation search.
2026-09-18T22:45:28 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.30
2026-09-18T22:45:28 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:28 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.30
2026-09-18T22:45:28 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:30 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.68
2026-09-18T22:45:30 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:30 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.68
2026-09-18T22:45:30 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:32 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.95
2026-09-18T22:45:32 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:32 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.95
2026-09-18T22:45:32 | SECURITY | v_ai.security.middleware | WARNING | SECURITY: Rate limit BLOCKED — ip=127.0.0.1, path=/api/session/new
2026-09-18T22:45:32 | SECURITY | v_ai.security.rate_limiter | WARNING | SECURITY: Rate limit exceeded — key='127.0.0.1', bucket_tokens=0.00
